text,label
Account Type: Inquiry | Status: Unpaid | Balance: 250 | Bureau: TransUnion | Dispute Reason: Incorrect dates | Last Updated: 2019-09,eligible
Account Type: Medical Collection | Status: Closed | Balance: 2400 | Bureau: Equifax | Last Updated: Unknown | Account Number Missing,insufficient_information
Account Type: Revolving | Status: Unknown | Balance: 980 | Bureau: Experian | Dispute Reason: Wrong balance | Last Updated: 2021-02,eligible
Account Type: Medical Collection | Status: Open | Balance: 600 | Bureau: Experian | Last Updated: Unknown | Account Number Missing,insufficient_information
Account Type: Credit Card | Status: Closed | Balance: 0 | Bureau: Experian | Paid as Agreed | Late Payments: 0,not_eligible
Account Type: Auto Loan | Status: Unknown | Balance: 0 | Bureau: TransUnion | Dispute Reason: Not mine | Last Updated: 2020-04,eligible
Account Type: Inquiry | Status: Unknown | Balance: 600 | Bureau: TransUnion | Last Updated: Unknown | Account Number Missing,insufficient_information
Account Type: Installment Loan | Status: Open | Balance: 4100 | Bureau: TransUnion | Dispute Reason: Wrong balance | Last Updated: 2015-12,eligible
Account Type: Installment Loan | Status: Closed | Balance: 1200 | Bureau: Experian | Paid as Agreed | Late Payments: 0,not_eligible
Account Type: Collection | Status: Closed | Balance: 1200 | Bureau: Experian | Last Updated: Unknown | Account Number Missing,insufficient_information
Account Type: Installment Loan | Status: Unpaid | Balance: 600 | Bureau: TransUnion | Last Updated: Unknown | Account Number Missing,insufficient_information
Account Type: Medical Collection | Status: Unpaid | Balance: 5200 | Bureau: Experian | Last Updated: Unknown | Account Number Missing,insufficient_information
Account Type: Installment Loan | Status: Closed | Balance: 250 | Bureau: Equifax | Last Updated: Unknown | Account Number Missing,insufficient_information
Account Type: Student Loan | Status: Unpaid | Balance: 2400 | Bureau: Experian | Dispute Reason: Incorrect dates | Last Updated: 2016-09,eligible
Account Type: Auto Loan | Status: Unpaid | Balance: 1200 | Bureau: Experian | Last Updated: Unknown | Account Number Missing,insufficient_information
Account Type: Medical Collection | Status: Paid | Balance: 600 | Bureau: Experian | Paid as Agreed | Late Payments: 0,not_eligible
Account Type: Inquiry | Status: Open | Balance: 1200 | Bureau: Experian | Last Updated: Unknown | Account Number Missing,insufficient_information
Account Type: Student Loan | Status: Closed | Balance: 1200 | Bureau: Experian | Dispute Reason: Duplicate | Last Updated: 2015-10,eligible
Account Type: Charge-Off | Status: Unknown | Balance: 600 | Bureau: TransUnion | Last Updated: Unknown | Account Number Missing,insufficient_information
Account Type: Installment Loan | Status: Paid | Balance: 980 | Bureau: Experian | Last Updated: Unknown | Account Number Missing,insufficient_information
Account Type: Collection | Status: Unknown | Balance: 5200 | Bureau: Equifax | Payment History: Unknown | Last Updated: 2017-01,conditionally_eligible
Account Type: Inquiry | Status: Open | Balance: 600 | Bureau: Experian | Last Updated: Unknown | Account Number Missing,insufficient_information
Account Type: Student Loan | Status: Unknown | Balance: 2400 | Bureau: TransUnion | Dispute Reason: Incorrect dates | Last Updated: 2020-03,eligible
Account Type: Student Loan | Status: Open | Balance: 2400 | Bureau: Experian | Payment History: Unknown | Last Updated: 2016-07,conditionally_eligible
Account Type: Charge-Off | Status: Unknown | Balance: 980 | Bureau: TransUnion | Payment History: Unknown | Last Updated: 2024-09,conditionally_eligible
Account Type: Collection | Status: Open | Balance: 2400 | Bureau: Experian | Dispute Reason: Wrong balance | Last Updated: 2023-07,eligible
Account Type: Medical Collection | Status: Open | Balance: 600 | Bureau: TransUnion | Dispute Reason: Incorrect creditor | Last Updated: 2017-01,eligible
